"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
56,85968611,"waterboyalz (4/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968614,"waterboyalz (6/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968624,"waterboyalz (16/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968627,"waterboyalz (18/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968630,"waterboyalz (20/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968635,"waterboyalz (24/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968641,"waterboyalz (26/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968647,"waterboyalz (30/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968650,"waterboyalz (32/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968653,"waterboyalz (34/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968656,"waterboyalz (36/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968662,"waterboyalz (40/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968666,"waterboyalz (42/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968668,"waterboyalz (44/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968672,"waterboyalz (46/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968675,"waterboyalz (48/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968678,"waterboyalz (50/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85968700,"mahomes20 (3/50)",0,149.80,"(1B) Mark Trumbo ,(P) David Price ,(SS) Freddy Galvis ,(C) Buster Posey ,(OF) A.J. Pollock ,(2B) DJ LeMahieu ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(3B) Maikel Franco ,(OF) Yasmany Tomas "
56,85968780,"stevenpowers43 (2/50)",0,149.80,"(OF) Carlos Gonzalez ,(SS) Troy Tulowitzki ,(C) Michael McKenry ,(OF) David Peralta ,(P) David Price ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(1B) Ben Paulsen ,(3B) Nick Castellanos ,(P) Jacob deGrom "
56,85978303,"Milkshakes (5/50)",0,149.80,"(2B) Martin Prado ,(OF) Adam Jones ,(OF) Steve Pearce ,(1B) Chris Davis ,(OF) Jimmy Paredes ,(P) David Price ,(3B) Manny Machado ,(C) J.T. Realmuto ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978442,"waterboyalz (2/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978450,"waterboyalz (8/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978453,"waterboyalz (10/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978455,"waterboyalz (12/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978457,"waterboyalz (14/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978465,"waterboyalz (22/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85978476,"waterboyalz (28/50)",0,149.80,"(2B) Robinson Cano ,(1B) Miguel Cabrera ,(OF) Delmon Young ,(OF) Adam Jones ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(3B) Kyle Seager ,(P) Jacob deGrom ,(SS) Brad Miller "
